Census ,Year,Housing,Population
Bowen Island ,2016,1540,3800
Bowen Island ,2020,1690,4120
Bowen Island ,2030,2000,4580
Bowen Island ,2040,2230,4970
Bowen Island ,2050,2400,5330
Burnaby ,2016,95280,244640
Burnaby ,2020,102520,259210
Burnaby ,2030,124840,300900
Burnaby ,2040,142010,333330
Burnaby ,2050,156000,358220
Coquitlam ,2016,53110,145850
Coquitlam ,2020,58260,160140
Coquitlam ,2030,77500,198910
Coquitlam ,2040,93330,230610
Coquitlam ,2050,106310,255060
Delta ,2016,37060,106390
Delta ,2020,38390,110060
Delta ,2030,42740,116770
Delta ,2040,46580,124660
Delta ,2050,49540,132400
Metro Vancouver A (RDA),2016,14590,29860
Metro Vancouver A (RDA),2020,15570,31520
Metro Vancouver A (RDA),2030,21140,41700
Metro Vancouver A (RDA),2040,28670,56720
Metro Vancouver A (RDA),2050,31480,62730
Langley ,2016,12180,27030
Langley ,2020,13180,28620
Langley ,2030,15710,33250
Langley ,2040,18030,37540
Langley ,2050,20130,41440
Maple Ridge ,2016,31290,85910
Maple Ridge ,2020,33830,89450
Maple Ridge ,2030,40760,104010
Maple Ridge ,2040,47080,118650
Maple Ridge ,2050,51240,128600
New Westminster ,2016,33650,74660
New Westminster ,2020,37630,82150
New Westminster ,2030,44040,95680
New Westminster ,2040,47810,104600
New Westminster ,2050,52070,110320
North Vancouver ,2016,25510,56090
North Vancouver ,2020,27450,59690
North Vancouver ,2030,32980,68150
North Vancouver ,2040,37320,74190
North Vancouver ,2050,41240,79260
Pitt Meadows ,2016,7500,19630
Pitt Meadows ,2020,8370,21360
Pitt Meadows ,2030,9290,23200
Pitt Meadows ,2040,9760,24170
Pitt Meadows ,2050,10710,26440
Port Coquitlam ,2016,22530,61480
Port Coquitlam ,2020,23000,62190
Port Coquitlam ,2030,28210,70880
Port Coquitlam ,2040,33440,81620
Port Coquitlam ,2050,35600,85670
Port Moody ,2016,13380,35030
Port Moody ,2020,14520,37550
Port Moody ,2030,17850,42680
Port Moody ,2040,20460,47520
Port Moody ,2050,22280,51360
Richmond ,2016,76060,207310
Richmond ,2020,83120,224380
Richmond ,2030,99800,255520
Richmond ,2040,111730,278870
Richmond ,2050,120580,297950
Surrey ,2016,176520,542740
Surrey ,2020,192490,592430
Surrey ,2030,233200,704030
Surrey ,2040,277110,806430
Surrey ,2050,308820,884640
Vancouver ,2016,292510,665920
Vancouver ,2020,307260,692310
Vancouver ,2030,343310,767990
Vancouver ,2040,366220,817540
Vancouver ,2050,384010,856830
West Vancouver ,2016,18820,20490
West Vancouver ,2020,19700,20530
West Vancouver ,2030,22840,22450
West Vancouver ,2040,26780,24990
West Vancouver ,2050,30590,27870
White Rock ,2016,10270,20490
White Rock ,2020,10400,20530
White Rock ,2030,12390,22450
White Rock ,2040,14450,24990
White Rock ,2050,16600,27870
Greater Vancouver (RD),2016,1000500,2593200
Greater Vancouver (RD),2020,1075500,2767000
Greater Vancouver (RD),2030,1287700,3206100
Greater Vancouver (RD),2040,1460500,3564100
Greater Vancouver (RD),2050,1589400,3836800
